"","Threshold","Utility","Specificity","Sensitivity","Precision","F1","Balanced.Accuracy","Chosen"
"1",0.01,0.833333333333333,0,1,0.243460764587525,0.391585760517799,0.5,0
"2",0.02,0.836879432624113,0.0212765957446809,1,0.247443762781186,0.39672131147541,0.51063829787234,0
"3",0.03,0.843971631205674,0.0638297872340425,1,0.255813953488372,0.407407407407407,0.531914893617021,0
"4",0.04,0.853723404255319,0.122340425531915,1,0.268292682926829,0.423076923076923,0.561170212765957,0
"5",0.05,0.854371812906629,0.167553191489362,0.991735537190083,0.277136258660508,0.433212996389892,0.579644364339722,0
"6",0.06,0.863680323544927,0.223404255319149,0.991735537190083,0.29126213592233,0.450281425891182,0.607569896254616,0
"7",0.07,0.873432096594573,0.281914893617021,0.991735537190083,0.307692307692308,0.469667318982388,0.636825215403552,0
"8",0.08,0.878751245530743,0.313829787234043,0.991735537190083,0.317460317460317,0.480961923847695,0.652782662212063,0
"9",0.09,0.887173231346346,0.36436170212766,0.991735537190083,0.334261838440111,0.5,0.678048619658871,0
"10",0.1,0.893378905105211,0.401595744680851,0.991735537190083,0.347826086956522,0.515021459227468,0.696665640935467,0
"11",0.11,0.899141316452729,0.436170212765957,0.991735537190083,0.36144578313253,0.529801324503311,0.71395287497802,0
"12",0.12,0.908006564679679,0.48936170212766,0.991735537190083,0.384615384615385,0.554272517321016,0.740548619658871,0
"13",0.13,0.917315075317977,0.545212765957447,0.991735537190083,0.412371134020619,0.58252427184466,0.768474151573765,0
"14",0.14,0.919531387374714,0.558510638297872,0.991735537190083,0.41958041958042,0.58968058968059,0.775123087743977,0
"15",0.15,0.924407273899537,0.587765957446808,0.991735537190083,0.436363636363636,0.606060606060606,0.789750747318446,0
"16",0.16,0.932385997303792,0.63563829787234,0.991735537190083,0.466926070038911,0.634920634920635,0.813686917531212,0
"17",0.17,0.934159046949182,0.646276595744681,0.991735537190083,0.474308300395257,0.641711229946524,0.819006066467382,0
"18",0.18,0.93814840865131,0.670212765957447,0.991735537190083,0.491803278688525,0.657534246575343,0.830974151573765,0
"19",0.19,0.94169450794209,0.691489361702128,0.991735537190083,0.508474576271186,0.672268907563025,0.841612449446105,0
"20",0.2,0.94701365687826,0.723404255319149,0.991735537190083,0.535714285714286,0.695652173913043,0.857569896254616,0
"21",0.21,0.949673231346346,0.73936170212766,0.991735537190083,0.55045871559633,0.707964601769912,0.865548619658871,0
"22",0.22,0.950116493757693,0.742021276595745,0.991735537190083,0.552995391705069,0.710059171597633,0.866878406892914,0
"23",0.23,0.951889543403083,0.752659574468085,0.991735537190083,0.563380281690141,0.718562874251497,0.872197555829084,0
"24",0.24,0.954105855459821,0.765957446808511,0.991735537190083,0.576923076923077,0.729483282674772,0.878846491999297,0
"25",0.25,0.957208692339253,0.784574468085106,0.991735537190083,0.597014925373134,0.745341614906832,0.888155002637595,0
"26",0.26,0.960311529218686,0.803191489361702,0.991735537190083,0.618556701030928,0.761904761904762,0.897463513275892,0
"27",0.27,0.962084578864076,0.813829787234043,0.991735537190083,0.631578947368421,0.771704180064309,0.902782662212063,0
"28",0.28,0.963857628509466,0.824468085106383,0.991735537190083,0.645161290322581,0.781758957654723,0.908101811148233,0
"29",0.29,0.950526786237618,0.827127659574468,0.975206611570248,0.644808743169399,0.776315789473684,0.901167135572358,0
"30",0.3,0.951413311060313,0.832446808510638,0.975206611570248,0.651933701657459,0.781456953642384,0.903826710040443,0
"31",0.31,0.952743098294356,0.840425531914894,0.975206611570248,0.662921348314607,0.789297658862876,0.907816071742571,0
"32",0.32,0.954516147939746,0.851063829787234,0.975206611570248,0.67816091954023,0.8,0.913135220678741,0
"33",0.33,0.957175722407831,0.867021276595745,0.975206611570248,0.702380952380952,0.816608996539792,0.921113944082996,0
"34",0.34,0.957618984819178,0.86968085106383,0.975206611570248,0.706586826347305,0.819444444444445,0.922443731317039,0
"35",0.35,0.958062247230526,0.872340425531915,0.975206611570248,0.710843373493976,0.822299651567944,0.923773518551081,0
"36",0.36,0.960278559287263,0.88563829787234,0.975206611570248,0.732919254658385,0.836879432624113,0.930422454721294,0
"37",0.37,0.961165084109958,0.890957446808511,0.975206611570248,0.742138364779874,0.842857142857143,0.933082029189379,0
"38",0.38,0.962494871344001,0.898936170212766,0.975206611570248,0.756410256410256,0.851985559566787,0.937071390891507,0
"39",0.39,0.956494343825098,0.904255319148936,0.966942148760331,0.764705882352941,0.854014598540146,0.935598733954633,0
"40",0.4,0.950493816306195,0.909574468085106,0.958677685950413,0.773333333333333,0.856088560885609,0.93412607701776,0
"41",0.41,0.95138034112889,0.914893617021277,0.958677685950413,0.783783783783784,0.862453531598513,0.936785651485845,0
"42",0.42,0.952710128362933,0.922872340425532,0.958677685950413,0.8,0.87218045112782,0.940775013187973,0
"43",0.43,0.952710128362933,0.922872340425532,0.958677685950413,0.8,0.87218045112782,0.940775013187973,0
"44",0.44,0.946266338432683,0.925531914893617,0.950413223140496,0.804195804195804,0.871212121212121,0.937972569017056,1
"45",0.45,0.941152335736475,0.936170212765957,0.942148760330578,0.826086956521739,0.88030888030888,0.939159486548268,0
"46",0.46,0.941152335736475,0.936170212765957,0.942148760330578,0.826086956521739,0.88030888030888,0.939159486548268,0
"47",0.47,0.941152335736475,0.936170212765957,0.942148760330578,0.826086956521739,0.88030888030888,0.939159486548268,0
"48",0.48,0.941152335736475,0.936170212765957,0.942148760330578,0.826086956521739,0.88030888030888,0.939159486548268,0
"49",0.49,0.941152335736475,0.936170212765957,0.942148760330578,0.826086956521739,0.88030888030888,0.939159486548268,0
"50",0.5,0.934708545806225,0.938829787234043,0.933884297520661,0.830882352941177,0.879377431906615,0.936357042377352,0
"51",0.51,0.935151808217572,0.941489361702128,0.933884297520661,0.837037037037037,0.8828125,0.937686829611394,0
"52",0.52,0.93559507062892,0.944148936170213,0.933884297520661,0.843283582089552,0.886274509803922,0.939016616845437,0
"53",0.53,0.929594543110017,0.949468085106383,0.925619834710744,0.854961832061069,0.888888888888889,0.937543959908563,0
"54",0.54,0.929594543110017,0.949468085106383,0.925619834710744,0.854961832061069,0.888888888888889,0.937543959908563,0
"55",0.55,0.930481067932712,0.954787234042553,0.925619834710744,0.868217054263566,0.896,0.940203534376648,0
"56",0.56,0.931367592755407,0.960106382978723,0.925619834710744,0.881889763779528,0.903225806451613,0.942863108844734,0
"57",0.57,0.931810855166755,0.962765957446808,0.925619834710744,0.888888888888889,0.906882591093117,0.944192896078776,0
"58",0.58,0.918480012894907,0.965425531914894,0.909090909090909,0.894308943089431,0.901639344262295,0.937258220502901,0
"59",0.59,0.912036222964656,0.968085106382979,0.900826446280992,0.900826446280992,0.900826446280992,0.934455776331985,0
"60",0.6,0.905149170623059,0.968085106382979,0.892561983471074,0.9,0.896265560165975,0.930323544927027,0
"61",0.61,0.905149170623059,0.968085106382979,0.892561983471074,0.9,0.896265560165975,0.930323544927027,0
"62",0.62,0.898705380692808,0.970744680851064,0.884297520661157,0.906779661016949,0.895397489539749,0.92752110075611,0
"63",0.63,0.899591905515503,0.976063829787234,0.884297520661157,0.922413793103448,0.90295358649789,0.930180675224196,0
"64",0.64,0.900035167926851,0.978723404255319,0.884297520661157,0.930434782608696,0.906779661016949,0.931510462458238,0
"65",0.65,0.866043168630209,0.981382978723404,0.84297520661157,0.935779816513762,0.886956521739131,0.912179092667487,0
"66",0.66,0.866043168630209,0.981382978723404,0.84297520661157,0.935779816513762,0.886956521739131,0.912179092667487,0
"67",0.67,0.859599378699959,0.984042553191489,0.834710743801653,0.94392523364486,0.885964912280702,0.909376648496571,0
"68",0.68,0.852712326358361,0.984042553191489,0.826446280991736,0.943396226415094,0.881057268722467,0.905244417091613,0
"69",0.69,0.838938221675166,0.984042553191489,0.809917355371901,0.942307692307692,0.871111111111111,0.896979954281695,0
"70",0.7,0.82516411699197,0.984042553191489,0.793388429752066,0.941176470588235,0.860986547085202,0.888715491471778,0
"71",0.71,0.819163589473067,0.98936170212766,0.785123966942149,0.95959595959596,0.863636363636364,0.887242834534904,0
"72",0.72,0.819163589473067,0.98936170212766,0.785123966942149,0.95959595959596,0.863636363636364,0.887242834534904,0
"73",0.73,0.812276537131469,0.98936170212766,0.776859504132231,0.959183673469388,0.858447488584475,0.883110603129945,0
"74",0.74,0.805832747201219,0.992021276595745,0.768595041322314,0.96875,0.857142857142857,0.880308158959029,0
"75",0.75,0.805832747201219,0.992021276595745,0.768595041322314,0.96875,0.857142857142857,0.880308158959029,0
"76",0.76,0.805832747201219,0.992021276595745,0.768595041322314,0.96875,0.857142857142857,0.880308158959029,0
"77",0.77,0.798945694859621,0.992021276595745,0.760330578512397,0.968421052631579,0.851851851851852,0.876175927554071,0
"78",0.78,0.792058642518024,0.992021276595745,0.752066115702479,0.968085106382979,0.846511627906977,0.872043696149112,0
"79",0.79,0.785614852587773,0.99468085106383,0.743801652892562,0.978260869565217,0.845070422535211,0.869241251978196,0
"80",0.8,0.751179590879784,0.99468085106383,0.702479338842975,0.977011494252874,0.817307692307692,0.848580094953402,0
"81",0.81,0.751622853291132,0.997340425531915,0.702479338842975,0.988372093023256,0.821256038647343,0.849909882187445,0
"82",0.82,0.744735800949534,0.997340425531915,0.694214876033058,0.988235294117647,0.815533980582524,0.845777650782486,0
"83",0.83,0.717187591583143,0.997340425531915,0.661157024793388,0.987654320987654,0.792079207920792,0.829248725162652,0
"84",0.84,0.676308539944904,1,0.611570247933884,1,0.758974358974359,0.805785123966942,0
"85",0.85,0.641873278236915,1,0.570247933884298,1,0.726315789473684,0.785123966942149,0
"86",0.86,0.607438016528926,1,0.528925619834711,1,0.691891891891892,0.764462809917355,0
"87",0.87,0.586776859504132,1,0.504132231404959,1,0.67032967032967,0.752066115702479,0
"88",0.88,0.559228650137741,1,0.471074380165289,1,0.640449438202247,0.735537190082645,0
"89",0.89,0.524793388429752,1,0.429752066115702,1,0.601156069364162,0.714876033057851,0
"90",0.9,0.504132231404959,1,0.40495867768595,1,0.576470588235294,0.702479338842975,0
"91",0.91,0.442148760330578,1,0.330578512396694,1,0.496894409937888,0.665289256198347,0
"92",0.92,0.414600550964187,1,0.297520661157025,1,0.45859872611465,0.648760330578512,0
"93",0.93,0.393939393939394,1,0.272727272727273,1,0.428571428571429,0.636363636363636,0
"94",0.94,0.352617079889807,1,0.223140495867769,1,0.364864864864865,0.611570247933884,0
"95",0.95,0.269972451790634,1,0.12396694214876,1,0.220588235294118,0.56198347107438,0
"96",0.96,0.214876033057851,1,0.0578512396694215,1,0.109375,0.528925619834711,0
"97",0.97,0.201101928374656,1,0.0413223140495868,1,0.0793650793650794,0.520661157024793,0
"98",0.98,0.180440771349862,1,0.0165289256198347,1,0.032520325203252,0.508264462809917,0
"99",0.99,0.166666666666667,1,0,NA,NA,0.5,0
"100",1,0.166666666666667,1,0,NA,NA,0.5,0
Confusion Matrix and Statistics

          Reference
Prediction TRUE FALSE
     TRUE   115    28
     FALSE    6   348
                                          
               Accuracy : 0.9316          
                 95% CI : (0.9057, 0.9522)
    No Information Rate : 0.7565          
    P-Value [Acc > NIR] : < 2.2e-16       
                                          
                  Kappa : 0.8251          
                                          
 Mcnemar's Test P-Value : 0.0003164       
                                          
            Sensitivity : 0.9504          
            Specificity : 0.9255          
         Pos Pred Value : 0.8042          
         Neg Pred Value : 0.9831          
             Prevalence : 0.2435          
         Detection Rate : 0.2314          
   Detection Prevalence : 0.2877          
      Balanced Accuracy : 0.9380          
                                          
       'Positive' Class : TRUE            
                                          
